standard,abbrev,meaning,edition,source_doc,verified,verified_by,verified_against,recall_confidence
Pocket Tradesman piping abbreviations,BE,beveled end,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,PE,plain end,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,XH,extra heavy,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,XXH,double extra heavy,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,SCH,schedule,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,RTJ,ring tight joint,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,SW,socket weld,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,TE,threaded end,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,BW,butt weld,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,CONC,concentric,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,ECC,eccentric,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,FOB,flat on bottom,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,ELEV,elevation,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,BOP,bottom of pipe,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,TOC,top of concrete,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,TOS,top of steel,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,SC,sample connection,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,SO,slip on flange,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
