standard,stock_dia_in,swl_vertical_lb,swl_60deg_lb,swl_45deg_lb,swl_below_45_lb,note,edition,source_doc,verified,verified_by,verified_against,recall_confidence
Pocket Tradesman eye bolts SWL by angle of pull; shoulder-type only for angular loads; <45 deg NOT RECOMMENDED,1/4,500,175,125,NOT RECOMMENDED,plain (shoulderless) eye bolts: vertical loads only; use forged steel only,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2346, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman eye bolts SWL by angle of pull; shoulder-type only for angular loads; <45 deg NOT RECOMMENDED,5/16,800,280,200,NOT RECOMMENDED,plain (shoulderless) eye bolts: vertical loads only; use forged steel only,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2346, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman eye bolts SWL by angle of pull; shoulder-type only for angular loads; <45 deg NOT RECOMMENDED,3/8,1200,420,300,NOT RECOMMENDED,plain (shoulderless) eye bolts: vertical loads only; use forged steel only,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2346, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman eye bolts SWL by angle of pull; shoulder-type only for angular loads; <45 deg NOT RECOMMENDED,1/2,2200,770,550,NOT RECOMMENDED,plain (shoulderless) eye bolts: vertical loads only; use forged steel only,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2346, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman eye bolts SWL by angle of pull; shoulder-type only for angular loads; <45 deg NOT RECOMMENDED,5/8,3500,1225,875,NOT RECOMMENDED,plain (shoulderless) eye bolts: vertical loads only; use forged steel only,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2346, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman eye bolts SWL by angle of pull; shoulder-type only for angular loads; <45 deg NOT RECOMMENDED,3/4,5200,1820,1300,NOT RECOMMENDED,plain (shoulderless) eye bolts: vertical loads only; use forged steel only,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2346, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman eye bolts SWL by angle of pull; shoulder-type only for angular loads; <45 deg NOT RECOMMENDED,7/8,7200,2520,1800,NOT RECOMMENDED,plain (shoulderless) eye bolts: vertical loads only; use forged steel only,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2346, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman eye bolts SWL by angle of pull; shoulder-type only for angular loads; <45 deg NOT RECOMMENDED,1,10000,3500,2500,NOT RECOMMENDED,plain (shoulderless) eye bolts: vertical loads only; use forged steel only,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2346, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman eye bolts SWL by angle of pull; shoulder-type only for angular loads; <45 deg NOT RECOMMENDED,1-1/4,15200,5320,3800,NOT RECOMMENDED,plain (shoulderless) eye bolts: vertical loads only; use forged steel only,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2346, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman eye bolts SWL by angle of pull; shoulder-type only for angular loads; <45 deg NOT RECOMMENDED,1-1/2,21400,7490,5350,NOT RECOMMENDED,plain (shoulderless) eye bolts: vertical loads only; use forged steel only,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2346, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
