standard,flange_class,nps,wrench_size_in,wrench_size_dec_in,stud_count,stud_dia_in,rf_stud_length_in,rf_stud_length_dec_in,rf_stud_length_mm,gasket_id_in,gasket_od_in,flange_diam_in,flange_diam_dec_in,rtj_stud_length_in,rtj_stud_length_dec_in,ring_no,book_note,edition,source_doc,verified,verified_by,verified_against,recall_confidence
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,1/2,7/8,0.875,4,1/2,2-1/4,2.25,57.15,3/4,1-7/8,3-1/2,3.5,,,,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,3/4,7/8,0.875,4,1/2,2-1/4,2.25,57.15,1,2-1/4,3-7/8,3.875,,,,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,1,7/8,0.875,4,1/2,2-1/2,2.5,63.5,1,2-5/8,4-1/4,4.25,3,3.0,R15,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,1-1/2,7/8,0.875,4,1/2,2-3/4,2.75,69.85,1-1/2,3-3/8,5,5.0,3-1/4,3.25,R19,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,2,1-1/16,1.0625,4,5/8,3-1/4,3.25,82.55,2,4-1/8,6,6.0,3-3/4,3.75,R22,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,3,1-1/16,1.0625,4,5/8,3-1/2,3.5,88.9,3,5-3/8,7-1/2,7.5,4-1/4,4.25,R29,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,4,1-1/16,1.0625,8,5/8,3-1/2,3.5,88.9,4,6-7/8,9,9.0,4-1/4,4.25,R36,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,6,1-1/4,1.25,8,3/4,4,4.0,101.6,6,8-3/4,11,11.0,4-1/2,4.5,R43,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,8,1-1/4,1.25,8,3/4,4-1/4,4.25,107.95,8,11,13-1/2,13.5,4-3/4,4.75,R48,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,10,1-7/16,1.4375,12,7/8,4-3/4,4.75,120.65,10,13-3/8,16,16.0,5-1/4,5.25,R52,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
