standard,name,text,edition,source_doc,verified,verified_by,verified_against,recall_confidence
Pocket Tradesman formulas and procedures,Barrels per m3,1 m3 = 6.292 barrels,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2339, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman formulas and procedures,Cylinder volume,Volume = pi x r^2 x length (or height),"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2339, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman formulas and procedures,45 deg travel,Travel (45) = set x 1.414,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2339, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman formulas and procedures,45 deg set,Set (45) = travel / 1.414,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2339, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman formulas and procedures,psi to kPa,psi x 6.895 = kPa; kPa / 6.895 = psi,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2339, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman formulas and procedures,WOG,"WOG = water, oil or gas rating","Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2339, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman formulas and procedures,Wire rope sling SWL (tons),"SWL single vertical = D^2 x 8 (D in inches); new IPS rope, Flemish spliced eyes, mechanical sleeves, SF 5; choker x 3/4","Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2341, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman formulas and procedures,2-leg bridle SWL,"SWL = SWL(single vertical) x H/L x 2, where H = vertical height, L = sling leg length","Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2341, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman formulas and procedures,3–4 leg bridle SWL,SWL = SWL(single vertical) x H/L x 3 (do not count 4th leg),"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman formulas and procedures,Eye splice efficiency,Flemish eye + pressed steel sleeve 100%; hand-tucked 80–90%; cable clips 80%; hand-tucked must not be used where sling or load may rotate,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman formulas and procedures,Fibre rope SWL rule of thumb,"(dia in eighths)^2 x K: manila 20, nylon/polyester 60, polypropylene 40, polyethylene 35 (lb)","Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2345, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman formulas and procedures,Sequential stud torque procedure,Lubricate studs/nuts. Run nuts down by hand. Keep flange gap even. Pass 1: snug with combo wrench. Pass 2: firm with same wrench. Pass 3: 25% of recommended torque. Pass 4: 75%. Pass 5: 100%. Continue at 100% until no nut moves. Follow the numbered star sequence (8/12/16/20/24/28/32-stud patterns).,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman formulas and procedures,Torque star sequence rule,"Number studs so each successive pair is diametrically opposite (1 and 2 opposite, 3 and 4 opposite at 90 deg, etc.), then proceed around; generate programmatically: for n studs, sequence i -> position (i*(n/2)) mod n pattern per ASME PCC-1 legacy star","Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2335, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
