standard,signal,edition,source_doc,verified,verified_by,verified_against,recall_confidence
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Load Up,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Load Down,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Load Up Slowly,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Load Down Slowly,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Boom Up,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Boom Down,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Boom Up Slowly,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Boom Down Slowly,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),"Boom Up, Load Down","Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),"Boom Down, Load Up","Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
