standard,material,weight_as_printed,edition,source_doc,verified,verified_by,verified_against,recall_confidence
Pocket Tradesman weights of materials (approximate),Aluminum,165 lb/cu ft,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2344, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman weights of materials (approximate),Aluminum (1 ft x 1 ft x 1 in),13.5 lb,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2344, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman weights of materials (approximate),Asphalt and tar,80 lb/cu ft,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2344, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman weights of materials (approximate),"Bricks, common",121 lb/cu ft (book prints cu.yd — likely misprint),"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2344, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman weights of materials (approximate),Concrete,4050 lb/cu yd,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2344, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman weights of materials (approximate),Concrete,150 lb/cu ft,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2344, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman weights of materials (approximate),Concrete block,52-84 lb/cu ft,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2344, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman weights of materials (approximate),Concrete block 4 in,24 lb each,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2344, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman weights of materials (approximate),Concrete block 6 in,35 lb each,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2344, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman weights of materials (approximate),Crushed rock,2550 lb/cu yd,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2344, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
