standard,pipe_size_nps,test_pressure_psi_from,test_pressure_psi_to,plate_thickness_in,plate_thickness_mm,edition,source_doc,verified,verified_by,verified_against,recall_confidence
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,2,100,1200,1/4,6.35,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,2,1300,3000,3/8,9.52,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,3,100,600,1/4,6.35,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,3,700,1200,3/8,9.52,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,3,1300,2000,1/2,12.7,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,3,2500,3000,3/4,19.05,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,4,100,300,1/4,6.35,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,4,400,800,3/8,9.52,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,4,900,1500,1/2,12.7,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,4,1600,3000,3/4,19.05,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
