standard,run_nps,outlet_nps,outlet_center_to_end_M_mm,outlet_center_to_end_M_in,edition,source_doc,verified,verified_by,verified_against,recall_confidence
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",3,2,76,2.99,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",4,2,90,3.54,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",4,3,99,3.9,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",6,3,124,4.88,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",6,4,130,5.12,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",8,3,152,5.98,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",8,4,155,6.1,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",8,6,169,6.65,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",10,4,185,7.28,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",10,6,194,7.64,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",10,8,203,7.99,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",12,6,220,8.66,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",12,8,227,8.94,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",12,10,241,9.49,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",14,6,238,9.37,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",14,8,248,9.76,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",14,10,257,10.12,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",14,12,270,10.63,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",16,6,264,10.39,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",16,8,273,10.75,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",16,10,282,11.1,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",16,12,295,11.61,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",16,14,305,12.01,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",18,8,298,11.73,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",18,10,308,12.13,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",18,12,321,12.64,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",18,14,330,12.99,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",18,16,330,12.99,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",20,8,324,12.76,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",20,10,333,13.11,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",20,12,346,13.62,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",20,14,356,14.02,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",20,16,356,14.02,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",20,18,368,14.49,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",24,10,384,15.12,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",24,12,397,15.63,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",24,14,406,15.98,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",24,16,406,15.98,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",24,18,419,16.5,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman reducing tee outlet center-to-end (B16.9 M), mm",24,20,432,17.01,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
