standard,bow_size_in,inside_width_at_pin_in,inside_width_at_pin_dec_in,inside_width_at_pin_mm,swl_single_vertical_lb,swl_short_tons,swl_kg,edition,source_doc,verified,verified_by,verified_against,recall_confidence
Pocket Tradesman shackles (all types) weldless forged alloy — size by stock (bow) diameter,3/16,3/8,0.375,9.52,665,0.3325,302,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2347, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman shackles (all types) weldless forged alloy — size by stock (bow) diameter,1/4,15/32,0.46875,11.91,1000,0.5,454,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2347, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman shackles (all types) weldless forged alloy — size by stock (bow) diameter,5/16,17/32,0.53125,13.49,1500,0.75,680,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2347, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman shackles (all types) weldless forged alloy — size by stock (bow) diameter,3/8,21/32,0.65625,16.67,2000,1.0,907,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2347, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman shackles (all types) weldless forged alloy — size by stock (bow) diameter,7/16,23/32,0.71875,18.26,3000,1.5,1361,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2347, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman shackles (all types) weldless forged alloy — size by stock (bow) diameter,1/2,13/16,0.8125,20.64,4000,2.0,1814,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2347, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman shackles (all types) weldless forged alloy — size by stock (bow) diameter,5/8,1-1/16,1.0625,26.99,6500,3.25,2948,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2347, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman shackles (all types) weldless forged alloy — size by stock (bow) diameter,3/4,1-1/4,1.25,31.75,9500,4.75,4309,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2347, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman shackles (all types) weldless forged alloy — size by stock (bow) diameter,7/8,1-7/16,1.4375,36.51,13000,6.5,5897,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2347, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman shackles (all types) weldless forged alloy — size by stock (bow) diameter,1,1-11/16,1.6875,42.86,17000,8.5,7711,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2347, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman shackles (all types) weldless forged alloy — size by stock (bow) diameter,1-1/8,1-13/16,1.8125,46.04,19000,9.5,8618,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2347, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
