standard,valve_type,flange_class,nps,face_to_face_mm,face_to_face_in,book_note,edition,source_doc,verified,verified_by,verified_against,recall_confidence
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,150,2,203,7.99,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,150,3,241,9.49,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,150,4,292,11.5,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,150,6,355,13.98,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,150,8,495,19.49,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,300,2,267,10.51,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,300,3,317,12.48,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,300,4,355,13.98,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,300,6,444,17.48,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,300,8,533,20.98,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,600,2,292,11.5,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,600,3,356,14.02,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,600,4,432,17.01,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,600,6,559,22.01,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,600,8,660,25.98,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,900,2,368,14.49,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,900,3,381,15.0,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,900,4,457,17.99,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,900,6,610,24.02,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,900,8,736,28.98,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,1500,2,368,14.49,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,1500,3,470,18.5,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,1500,4,546,21.5,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,1500,6,705,27.76,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",check,1500,8,832,32.76,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,150,2,178,7.01,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,150,3,203,7.99,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,150,4,228,8.98,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,150,6,267,10.51,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,150,8,292,11.5,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,300,2,216,8.5,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,300,3,283,11.14,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,300,4,305,12.01,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,300,6,402,15.83,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,300,8,419,16.5,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,600,2,292,11.5,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,600,3,355,13.98,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,600,4,432,17.01,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,600,6,559,22.01,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,600,8,660,25.98,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,900,2,368,14.49,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,900,3,381,15.0,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,900,4,457,17.99,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,900,6,609,23.98,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,900,8,736,28.98,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,1500,2,368,14.49,book's gate 1500# row is identical to its 900# row; B16.10 class 1500 gate = 470/546/705/832 for 3/4/6/8 (same as check/ball 1500 rows) — likely book misprint,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,1500,3,381,15.0,book's gate 1500# row is identical to its 900# row; B16.10 class 1500 gate = 470/546/705/832 for 3/4/6/8 (same as check/ball 1500 rows) — likely book misprint,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,1500,4,457,17.99,book's gate 1500# row is identical to its 900# row; B16.10 class 1500 gate = 470/546/705/832 for 3/4/6/8 (same as check/ball 1500 rows) — likely book misprint,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
