standard,rope_dia_in,min_clips,turn_back_from_thimble_in,turn_back_mm,torque_ft_lb_unlubricated,edition,source_doc,verified,verified_by,verified_against,recall_confidence
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",1/4,2,4-3/4,120.65,15,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",5/16,2,5-1/2,139.7,30,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",3/8,2,6-1/2,165.1,45,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",7/16,2,7,177.8,65,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",1/2,3,11-1/2,292.1,65,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",9/16,3,12,304.8,95,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",5/8,3,12,304.8,95,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",3/4,4,18,457.2,130,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",7/8,4,19,482.6,225,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",1,5,26,660.4,225,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",1-1/8,6,34,863.6,225,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",1-1/4,6,37,939.8,360,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",1-3/8,7,44,1117.6,360,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope clips (develop 80% of rope strength); drop-forged only; U-bolt on dead end, never saddle; do not stagger; re-torque after loading",1-1/2,7,48,1219.2,360,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2343, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
