standard,rope_dia_in,single_vertical_lb,single_choker_lb,single_basket_vertical_lb,two_leg_60deg_lb,two_leg_45deg_lb,two_leg_30deg_lb,edition,source_doc,verified,verified_by,verified_against,recall_confidence
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",3/16,650,480,1300,1100,900,650,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",1/4,1150,860,2300,2000,1600,1150,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",5/16,1750,1300,3500,3000,2500,1750,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",3/8,2550,1900,5100,4400,3600,2550,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",7/16,3450,2600,6900,6000,4900,3450,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",1/2,4700,3500,9400,8150,6650,4700,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",9/16,5700,4200,11400,9900,8050,5700,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",5/8,7100,5300,14200,12300,10000,7100,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",3/4,10200,7650,20400,17700,14400,10200,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",7/8,13750,10300,27500,23800,19400,13750,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",1,17950,13450,35900,31100,25400,17950,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",1-1/8,22750,17000,45500,39400,32200,22750,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",1-1/4,28200,21200,56400,48800,39900,28200,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",1-3/8,34800,26100,69600,60300,49200,34800,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman wire rope slings 6x19 class, Improved Plow Steel, IWRC, lb, safety factor 5; Flemish spliced eyes + mechanical sleeves",1-1/2,41300,31000,82600,71500,58400,41300,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2342, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
