standard,flange_class,nps,lth_wn_incl_rf_mm,lth_wn_incl_rf_in,edition,source_doc,verified,verified_by,verified_against,recall_confidence
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",150,2,64,2.52,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",300,2,70,2.76,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",600,2,80,3.15,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",900,2,110,4.33,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",150,3,70,2.76,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",300,3,80,3.15,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",600,3,90,3.54,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",900,3,110,4.33,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",150,4,77,3.03,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",300,4,85,3.35,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",600,4,107,4.21,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",900,4,121,4.76,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman 'welded flange dimensions' = weld-neck length through hub INCLUDING raised face, mm",150,6,89,3.5,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2330, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
