standard,edition,nps,od_in,od_mm,fitting_type,dimension_label,center_to_end_in,center_to_end_mm,derived,source_doc,verified,verified_by,verified_against
ASME B16.9,UNSPECIFIED-verify,1/2,0.84,21.3,LR90,A,1.5,38.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1/2,0.84,21.3,LR45,B,0.62,15.7,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1/2,0.84,21.3,TEE_EQUAL,C (=M for equal tee),1.0,25.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1/2,0.84,21.3,CAP,E,1.0,25.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1/2,0.84,21.3,REDUCER,H,1.5,38.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1/2,0.84,21.3,LR180_RETURN_O,O (derived 2A),3.0,76.2,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1/2,0.84,21.3,LR180_RETURN_K,K (derived A+OD/2),1.92,48.8,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3/4,1.05,26.7,LR90,A,1.12,28.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3/4,1.05,26.7,LR45,B,0.44,11.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3/4,1.05,26.7,TEE_EQUAL,C (=M for equal tee),1.12,28.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3/4,1.05,26.7,CAP,E,1.0,25.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3/4,1.05,26.7,REDUCER,H,1.5,38.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3/4,1.05,26.7,LR180_RETURN_O,O (derived 2A),2.24,56.9,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3/4,1.05,26.7,LR180_RETURN_K,K (derived A+OD/2),1.65,41.9,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1,1.315,33.4,LR90,A,1.5,38.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1,1.315,33.4,LR45,B,0.88,22.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1,1.315,33.4,SR90,A,1.0,25.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1,1.315,33.4,TEE_EQUAL,C (=M for equal tee),1.5,38.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1,1.315,33.4,CAP,E,1.5,38.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1,1.315,33.4,REDUCER,H,2.0,50.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1,1.315,33.4,LR180_RETURN_O,O (derived 2A),3.0,76.2,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1,1.315,33.4,LR180_RETURN_K,K (derived A+OD/2),2.16,54.9,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/4,1.66,42.2,LR90,A,1.88,47.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/4,1.66,42.2,LR45,B,1.0,25.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
