standard,chain_grade,chain_size_in,chain_size_mm,wll_single_vertical_lb,wll_single_vertical_kg,recall_confidence,edition,source_doc,verified,verified_by,verified_against
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 80,7/32,5.56,2100,953,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 100,7/32,5.56,2700,1225,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 80,9/32,7.14,3500,1588,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 100,9/32,7.14,4300,1950,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 80,3/8,9.52,7100,3221,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 100,3/8,9.52,8800,3992,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 80,1/2,12.7,12000,5443,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 100,1/2,12.7,15000,6804,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 80,5/8,15.88,18100,8210,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 100,5/8,15.88,22600,10251,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 80,3/4,19.05,28300,12837,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 100,3/4,19.05,35300,16012,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 80,7/8,22.22,34200,15513,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 100,7/8,22.22,42700,19369,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 80,1,25.4,47700,21637,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 100,1,25.4,59700,27080,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 alloy chain, single leg vertical, design factor 4",Grade 80,1-1/4,31.75,72300,32795,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
