standard,category,from_unit,to_unit,multiply_by,recall_confidence,edition,source_doc,verified,verified_by,verified_against
NIST SP 811 / exact SI definitions,length,in,mm,25.4,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,length,ft,m,0.3048,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,length,yd,m,0.9144,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,length,mile,km,1.609344,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,area,in2,cm2,6.4516,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,area,ft2,m2,0.09290304,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,volume,in3,cm3,16.387064,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,volume,ft3,m3,0.028316847,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,volume,ft3,US gal,7.480519,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,volume,US gal,L,3.785412,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,volume,imp gal,L,4.546092,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,volume,US gal,imp gal,0.832674,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,volume,bbl (oil),US gal,42,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,volume,bbl (oil),m3,0.158987,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,mass,lb,kg,0.45359237,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
