standard,flange_class,nps,hub_dia_base_X_in,hub_dia_base_X_mm,hub_dia_bevel_A_in_WN,hub_dia_bevel_A_mm_WN,slip_on_bore_B_in,slip_on_bore_B_mm,recall_confidence,edition,source_doc,verified,verified_by,verified_against
ASME B16.5,150,1/2,1.19,30.23,0.84,21.34,0.9,22.86,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,3/4,1.5,38.1,1.05,26.67,1.11,28.19,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,1,1.94,49.28,1.315,33.4,1.38,35.05,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,1-1/4,2.31,58.67,1.66,42.16,1.72,43.69,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,1-1/2,2.56,65.02,1.9,48.26,1.97,50.04,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,2,3.06,77.72,2.375,60.32,2.44,61.98,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,2-1/2,3.56,90.42,2.875,73.02,2.94,74.68,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,3,4.25,107.95,3.5,88.9,3.57,90.68,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,3-1/2,4.81,122.17,4.0,101.6,4.07,103.38,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,4,5.31,134.87,4.5,114.3,4.57,116.08,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,5,6.44,163.58,5.563,141.3,5.66,143.76,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,6,7.56,192.02,6.625,168.27,6.72,170.69,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,8,9.69,246.13,8.625,219.07,8.72,221.49,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
