standard,flange_class,nps,flange_type,weight_lb_approx,weight_kg_approx,tolerance,recall_confidence,edition,source_doc,verified,verified_by,verified_against
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,1/2,WN,2,0.9,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,3/4,WN,2,0.9,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,1,WN,3,1.4,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,1-1/4,WN,4,1.8,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,1-1/2,WN,5,2.3,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,2,WN,6,2.7,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,2-1/2,WN,9,4.1,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,3,WN,11,5.0,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,4,WN,15,6.8,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,5,WN,18,8.2,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,6,WN,22,10.0,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,8,WN,38,17.2,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,10,WN,52,23.6,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,12,WN,82,37.2,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,14,WN,110,49.9,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,16,WN,137,62.1,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,18,WN,165,74.8,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,20,WN,200,90.7,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,24,WN,280,127.0,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,1/2,SO,1,0.5,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,3/4,SO,2,0.9,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,1,SO,2,0.9,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,1-1/4,SO,3,1.4,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,1-1/2,SO,4,1.8,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,2,SO,5,2.3,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,2-1/2,SO,8,3.6,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,3,SO,9,4.1,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,4,SO,13,5.9,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,5,SO,15,6.8,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,6,SO,19,8.6,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,8,SO,30,13.6,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,10,SO,43,19.5,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,12,SO,64,29.0,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,14,SO,90,40.8,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,16,SO,106,48.1,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,18,SO,130,59.0,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,20,SO,155,70.3,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,24,SO,220,99.8,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,1/2,BL,1,0.5,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,3/4,BL,2,0.9,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,1,BL,2,0.9,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,1-1/4,BL,3,1.4,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,1-1/2,BL,4,1.8,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,2,BL,6,2.7,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,2-1/2,BL,9,4.1,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,3,BL,11,5.0,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,4,BL,17,7.7,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,5,BL,20,9.1,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,6,BL,27,12.2,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 (catalog weights, carbon steel, std bore WN)",150,8,BL,47,21.3,+/-10% by manufacturer,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
