standard,edition,flange_class,nps,od_in,od_mm,thickness_in,thickness_mm,bolt_circle_in,bolt_circle_mm,bolt_count,bolt_size_in,bolt_hole_in,bolt_hole_mm,rf_dia_in,rf_dia_mm,rf_height_in,lth_wn_in,lth_wn_mm,lth_so_in,lth_so_mm,source_doc,verified,verified_by,verified_against
ASME B16.5,UNSPECIFIED-verify,150,1/2,3.5,88.9,0.44,11.2,2.38,60.5,4,1/2,0.62,15.7,1.38,35.1,0.06,1.88,47.8,0.62,15.7,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,3/4,3.88,98.6,0.5,12.7,2.75,69.8,4,1/2,0.62,15.7,1.69,42.9,0.06,2.06,52.3,0.62,15.7,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,1,4.25,107.9,0.56,14.2,3.12,79.2,4,1/2,0.62,15.7,2.0,50.8,0.06,2.19,55.6,0.69,17.5,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,1-1/4,4.62,117.3,0.62,15.7,3.5,88.9,4,1/2,0.62,15.7,2.5,63.5,0.06,2.25,57.1,0.81,20.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,1-1/2,5.0,127.0,0.69,17.5,3.88,98.6,4,1/2,0.62,15.7,2.88,73.2,0.06,2.44,62.0,0.88,22.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,2,6.0,152.4,0.75,19.0,4.75,120.6,4,5/8,0.75,19.0,3.62,91.9,0.06,2.5,63.5,1.0,25.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,2-1/2,7.0,177.8,0.88,22.4,5.5,139.7,4,5/8,0.75,19.0,4.12,104.6,0.06,2.75,69.8,1.12,28.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,3,7.5,190.5,0.94,23.9,6.0,152.4,4,5/8,0.75,19.0,5.0,127.0,0.06,2.75,69.8,1.19,30.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,3-1/2,8.5,215.9,0.94,23.9,7.0,177.8,8,5/8,0.75,19.0,5.5,139.7,0.06,2.81,71.4,1.25,31.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,4,9.0,228.6,0.94,23.9,7.5,190.5,8,5/8,0.75,19.0,6.19,157.2,0.06,3.0,76.2,1.31,33.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,5,10.0,254.0,0.94,23.9,8.5,215.9,8,3/4,0.88,22.4,7.31,185.7,0.06,3.5,88.9,1.44,36.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,6,11.0,279.4,1.0,25.4,9.5,241.3,8,3/4,0.88,22.4,8.5,215.9,0.06,3.5,88.9,1.56,39.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,8,13.5,342.9,1.12,28.4,11.75,298.4,8,3/4,0.88,22.4,10.62,269.7,0.06,4.0,101.6,1.75,44.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,10,16.0,406.4,1.19,30.2,14.25,361.9,12,7/8,1.0,25.4,12.75,323.8,0.06,4.0,101.6,1.94,49.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,12,19.0,482.6,1.25,31.8,17.0,431.8,12,7/8,1.0,25.4,15.0,381.0,0.06,4.5,114.3,2.19,55.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,14,21.0,533.4,1.38,35.1,18.75,476.2,12,1,1.12,28.4,16.25,412.8,0.06,5.0,127.0,2.25,57.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,16,23.5,596.9,1.44,36.6,21.25,539.8,16,1,1.12,28.4,18.5,469.9,0.06,5.0,127.0,2.5,63.5,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,18,25.0,635.0,1.56,39.6,22.75,577.9,16,1-1/8,1.25,31.8,21.0,533.4,0.06,5.5,139.7,2.69,68.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,20,27.5,698.5,1.69,42.9,25.0,635.0,20,1-1/8,1.25,31.8,23.0,584.2,0.06,5.69,144.5,2.88,73.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,150,24,32.0,812.8,1.88,47.8,29.5,749.3,20,1-1/4,1.38,35.1,27.25,692.1,0.06,6.0,152.4,3.25,82.5,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,1/2,3.75,95.2,0.56,14.2,2.62,66.5,4,1/2,0.62,15.7,1.38,35.1,0.06,2.06,52.3,0.88,22.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,3/4,4.62,117.3,0.62,15.7,3.25,82.5,4,5/8,0.75,19.0,1.69,42.9,0.06,2.25,57.1,1.0,25.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,1,4.88,124.0,0.69,17.5,3.5,88.9,4,5/8,0.75,19.0,2.0,50.8,0.06,2.44,62.0,1.06,26.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,1-1/4,5.25,133.3,0.75,19.0,3.88,98.6,4,5/8,0.75,19.0,2.5,63.5,0.06,2.56,65.0,1.06,26.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,1-1/2,6.12,155.4,0.81,20.6,4.5,114.3,4,3/4,0.88,22.4,2.88,73.2,0.06,2.69,68.3,1.19,30.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,2,6.5,165.1,0.88,22.4,5.0,127.0,8,5/8,0.75,19.0,3.62,91.9,0.06,2.75,69.8,1.31,33.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,2-1/2,7.5,190.5,1.0,25.4,5.88,149.4,8,3/4,0.88,22.4,4.12,104.6,0.06,3.0,76.2,1.5,38.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,3,8.25,209.5,1.12,28.4,6.62,168.1,8,3/4,0.88,22.4,5.0,127.0,0.06,3.12,79.2,1.69,42.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,3-1/2,9.0,228.6,1.19,30.2,7.25,184.1,8,3/4,0.88,22.4,5.5,139.7,0.06,3.19,81.0,1.75,44.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,4,10.0,254.0,1.25,31.8,7.88,200.2,8,3/4,0.88,22.4,6.19,157.2,0.06,3.38,85.9,1.88,47.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,5,11.0,279.4,1.38,35.1,9.25,234.9,8,3/4,0.88,22.4,7.31,185.7,0.06,3.88,98.6,2.0,50.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,6,12.5,317.5,1.44,36.6,10.62,269.7,12,3/4,0.88,22.4,8.5,215.9,0.06,3.88,98.6,2.06,52.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,8,15.0,381.0,1.62,41.1,13.0,330.2,12,7/8,1.0,25.4,10.62,269.7,0.06,4.38,111.3,2.44,62.0,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,10,17.5,444.5,1.88,47.8,15.25,387.3,16,1,1.12,28.4,12.75,323.8,0.06,4.62,117.3,2.62,66.5,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,12,20.5,520.7,2.0,50.8,17.75,450.8,16,1-1/8,1.25,31.8,15.0,381.0,0.06,5.12,130.0,2.88,73.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,14,23.0,584.2,2.12,53.8,20.25,514.4,20,1-1/8,1.25,31.8,16.25,412.8,0.06,5.62,142.7,3.0,76.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,16,25.5,647.7,2.25,57.1,22.5,571.5,20,1-1/4,1.38,35.1,18.5,469.9,0.06,5.75,146.0,3.25,82.5,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,18,28.0,711.2,2.38,60.5,24.75,628.6,24,1-1/4,1.38,35.1,21.0,533.4,0.06,6.25,158.8,3.5,88.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,20,30.5,774.7,2.5,63.5,27.0,685.8,24,1-1/4,1.38,35.1,23.0,584.2,0.06,6.38,162.1,3.75,95.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,300,24,36.0,914.4,2.75,69.8,32.0,812.8,24,1-1/2,1.62,41.1,27.25,692.1,0.06,6.62,168.1,4.19,106.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,1/2,3.75,95.2,0.56,14.2,2.62,66.5,4,1/2,0.62,15.7,1.38,35.1,0.25,2.06,52.3,0.88,22.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,3/4,4.62,117.3,0.62,15.7,3.25,82.5,4,5/8,0.75,19.0,1.69,42.9,0.25,2.25,57.1,1.0,25.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
