standard,signal,description,image_asset,recall_confidence,edition,source_doc,verified,verified_by,verified_against
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Hoist,"Forearm vertical, forefinger pointing up, move hand in small horizontal circle",hand_signal_hoist.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Lower,"Arm extended downward, forefinger pointing down, move hand in small horizontal circle",hand_signal_lower.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Use main hoist,"Tap fist on head, then use regular signals",hand_signal_use_main_hoist.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Use whipline (auxiliary hoist),"Tap elbow with one hand, then use regular signals",hand_signal_use_whipline_auxiliary_hoist.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Raise boom,"Arm extended, fingers closed, thumb pointing upward",hand_signal_raise_boom.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Lower boom,"Arm extended, fingers closed, thumb pointing downward",hand_signal_lower_boom.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Move slowly,Use one hand to give any motion signal and place other hand motionless in front of the hand giving the signal,hand_signal_move_slowly.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Raise the boom and lower the load,"Arm extended, thumb pointing up, flex fingers in and out as long as load movement is desired",hand_signal_raise_the_boom_and_lower_the_load.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Lower the boom and raise the load,"Arm extended, thumb pointing down, flex fingers in and out as long as load movement is desired",hand_signal_lower_the_boom_and_raise_the_load.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Swing,"Arm extended, point with finger in direction of swing of boom",hand_signal_swing.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Stop,"Arm extended, palm down, move arm back and forth horizontally",hand_signal_stop.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Emergency stop,"Both arms extended, palms down, move arms back and forth horizontally",hand_signal_emergency_stop.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Travel,"Arm extended forward, hand open and slightly raised, make pushing motion in direction of travel",hand_signal_travel.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Dog everything,Clasp hands in front of body,hand_signal_dog_everything.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Travel (both tracks),"Use both fists in front of body, making a circular motion about each other, indicating direction of travel",hand_signal_travel_both_tracks.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Travel (one track),Lock the track on side indicated by raised fist; travel opposite track in direction indicated by circular motion of other fist,hand_signal_travel_one_track.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Extend boom (telescoping),Both fists in front of body with thumbs pointing outward,hand_signal_extend_boom_telescoping.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Retract boom (telescoping),Both fists in front of body with thumbs pointing toward each other,hand_signal_retract_boom_telescoping.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Extend boom (one hand),One fist in front of chest with thumb tapping chest,hand_signal_extend_boom_one_hand.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B30.5 standard hand signals (mobile cranes); site may add signals — follow the signal chart posted on the crane,Retract boom (one hand),"One fist in front of chest, thumb pointing outward and heel of fist tapping chest",hand_signal_retract_boom_one_hand.svg,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
