standard,material,density_lb_per_ft3,density_kg_per_m3,specific_gravity,recall_confidence,edition,source_doc,verified,verified_by,verified_against
Typical engineering handbook values,"Steel, carbon",490,7849,7.853,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Steel, stainless",495,7929,7.933,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Cast iron,450,7208,7.212,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Aluminum,169,2707,2.708,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Copper,556,8906,8.91,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Brass,525,8409,8.413,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Bronze,535,8570,8.574,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Lead,708,11341,11.346,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Zinc,445,7128,7.131,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Titanium,281,4501,4.503,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Concrete, reinforced",150,2403,2.404,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Concrete, plain",145,2323,2.324,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Brick masonry,120,1922,1.923,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Glass,160,2563,2.564,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Asphalt paving,145,2323,2.324,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Water, fresh",62.4,1000,1.0,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Water, sea",64,1025,1.026,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Ice,57,913,0.913,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Snow, packed",30,481,0.481,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Sand, dry",100,1602,1.603,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Sand, wet",120,1922,1.923,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Gravel,105,1682,1.683,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Earth, loose",75,1201,1.202,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Earth, packed",100,1602,1.603,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Clay, damp",110,1762,1.763,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Wood, Douglas fir",34,545,0.545,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Wood, oak",45,721,0.721,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Wood, pine",30,481,0.481,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,"Wood, plywood",36,577,0.577,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Fuel oil / diesel,53,849,0.849,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Gasoline,42,673,0.673,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Lubricating oil,55,881,0.881,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Mineral wool insulation,8,128,0.128,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Calcium silicate insulation,14,224,0.224,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Typical engineering handbook values,Fiberglass insulation,3,48,0.048,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
