standard,nps,tpi,pitch_in,pitch_mm,pipe_od_in,pipe_od_mm,handtight_L1_in,handtight_L1_mm,handtight_turns,effective_thread_L2_in,effective_thread_L2_mm,wrench_makeup_L3_in,wrench_makeup_turns,total_makeup_L1_plus_L3_in,taper,recall_confidence,edition,source_doc,verified,verified_by,verified_against
ASME B1.20.1,1/16,27,0.037,0.94,0.3125,7.94,0.16,4.06,4.32,0.2611,6.63,0.1111,3,0.271,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,1/8,27,0.037,0.94,0.405,10.29,0.1615,4.1,4.36,0.2639,6.7,0.1111,3,0.273,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,1/4,18,0.0556,1.41,0.54,13.72,0.2278,5.79,4.1,0.4018,10.21,0.1667,3,0.394,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,3/8,18,0.0556,1.41,0.675,17.14,0.24,6.1,4.32,0.4078,10.36,0.1667,3,0.407,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,1/2,14,0.0714,1.81,0.84,21.34,0.32,8.13,4.48,0.5337,13.56,0.2143,3,0.534,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,3/4,14,0.0714,1.81,1.05,26.67,0.339,8.61,4.75,0.5457,13.86,0.2143,3,0.553,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,1,11.5,0.087,2.21,1.315,33.4,0.4,10.16,4.6,0.6828,17.34,0.2609,3,0.661,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,1-1/4,11.5,0.087,2.21,1.66,42.16,0.42,10.67,4.83,0.7068,17.95,0.2609,3,0.681,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,1-1/2,11.5,0.087,2.21,1.9,48.26,0.42,10.67,4.83,0.7235,18.38,0.2609,3,0.681,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,2,11.5,0.087,2.21,2.375,60.32,0.436,11.07,5.01,0.7565,19.22,0.2609,3,0.697,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,2-1/2,8,0.125,3.17,2.875,73.02,0.682,17.32,5.46,1.1375,28.89,0.375,3,1.057,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,3,8,0.125,3.17,3.5,88.9,0.766,19.46,6.13,1.2,30.48,0.375,3,1.141,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,3-1/2,8,0.125,3.17,4.0,101.6,0.821,20.85,6.57,1.25,31.75,0.375,3,1.196,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,4,8,0.125,3.17,4.5,114.3,0.844,21.44,6.75,1.3,33.02,0.375,3,1.219,1:16 on diameter (3/4 in per ft),high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,5,8,0.125,3.17,5.563,141.3,0.937,23.8,7.5,1.4063,35.72,0.375,3,1.312,1:16 on diameter (3/4 in per ft),medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,6,8,0.125,3.17,6.625,168.27,0.958,24.33,7.66,1.5125,38.42,0.375,3,1.333,1:16 on diameter (3/4 in per ft),medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,8,8,0.125,3.17,8.625,219.07,1.063,27.0,8.5,1.7125,43.5,0.375,3,1.438,1:16 on diameter (3/4 in per ft),medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,10,8,0.125,3.17,10.75,273.05,1.21,30.73,9.68,1.925,48.89,0.375,3,1.585,1:16 on diameter (3/4 in per ft),medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B1.20.1,12,8,0.125,3.17,12.75,323.85,1.36,34.54,10.88,2.125,53.97,0.375,3,1.735,1:16 on diameter (3/4 in per ft),medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
