standard,thickness_in,thickness_mm,weight_lb_per_ft2,weight_kg_per_m2,weight_lb_per_4x8_sheet,recall_confidence,edition,source_doc,verified,verified_by,verified_against
Computed from steel density 490 lb/ft3 (7850 kg/m3),1/8,3.17,5.1,24.9,163.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),3/16,4.76,7.65,37.4,245.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),1/4,6.35,10.2,49.8,326.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),5/16,7.94,12.75,62.3,408.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),3/8,9.52,15.3,74.8,490.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),7/16,11.11,17.85,87.2,571.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),1/2,12.7,20.4,99.7,653.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),9/16,14.29,22.95,112.2,734.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),5/8,15.88,25.5,124.6,816.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),3/4,19.05,30.6,149.5,979.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),7/8,22.22,35.7,174.5,1142.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),1,25.4,40.8,199.4,1306.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),1-1/8,28.57,45.9,224.3,1469.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),1-1/4,31.75,51.0,249.2,1632.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),1-1/2,38.1,61.2,299.1,1958.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),1-3/4,44.45,71.4,348.9,2285.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),2,50.8,81.6,398.8,2611.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),2-1/2,63.5,102.0,498.5,3264.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed from steel density 490 lb/ft3 (7850 kg/m3),3,76.2,122.4,598.2,3917.0,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
