standard,run_nps,outlet_nps,run_center_to_end_C_in,run_center_to_end_C_mm,outlet_center_to_end_M_in,outlet_center_to_end_M_mm,recall_confidence,edition,source_doc,verified,verified_by,verified_against
ASME B16.9,2,1-1/2,2.5,63.5,2.38,60.45,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,2,1-1/4,2.5,63.5,2.25,57.15,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,2,1,2.5,63.5,2.0,50.8,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,2,3/4,2.5,63.5,1.75,44.45,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,2-1/2,2,3.0,76.2,2.75,69.85,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,2-1/2,1-1/2,3.0,76.2,2.62,66.55,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,2-1/2,1-1/4,3.0,76.2,2.5,63.5,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,2-1/2,1,3.0,76.2,2.25,57.15,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,3,2-1/2,3.38,85.85,3.25,82.55,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,3,2,3.38,85.85,3.0,76.2,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,3,1-1/2,3.38,85.85,2.88,73.15,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,3,1-1/4,3.38,85.85,2.75,69.85,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,3-1/2,3,3.75,95.25,3.62,91.95,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,3-1/2,2-1/2,3.75,95.25,3.5,88.9,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,3-1/2,2,3.75,95.25,3.38,85.85,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,3-1/2,1-1/2,3.75,95.25,3.25,82.55,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,4,3-1/2,4.12,104.65,4.0,101.6,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,4,3,4.12,104.65,3.88,98.55,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
