standard,bow_size_in,bow_dia_in,bow_dia_mm,wll_short_tons,wll_kg,inside_width_at_pin_in,inside_width_at_pin_mm,pin_dia_in,pin_dia_mm,inside_length_in,inside_length_mm,recall_confidence,edition,source_doc,verified,verified_by,verified_against
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",3/16,0.1875,4.76,0.333,302,0.38,9.65,0.25,6.35,0.88,22.35,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",1/4,0.25,6.35,0.5,454,0.47,11.94,0.31,7.87,1.13,28.7,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",5/16,0.3125,7.94,0.75,680,0.53,13.46,0.38,9.65,1.22,30.99,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",3/8,0.375,9.52,1,907,0.66,16.76,0.44,11.18,1.44,36.58,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",7/16,0.4375,11.11,1.5,1361,0.75,19.05,0.5,12.7,1.69,42.93,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",1/2,0.5,12.7,2,1814,0.81,20.57,0.63,16.0,1.88,47.75,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",5/8,0.625,15.88,3.25,2948,1.06,26.92,0.75,19.05,2.38,60.45,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",3/4,0.75,19.05,4.75,4309,1.25,31.75,0.88,22.35,2.81,71.37,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",7/8,0.875,22.22,6.5,5897,1.44,36.58,1.0,25.4,3.31,84.07,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",1,1.0,25.4,8.5,7711,1.69,42.93,1.13,28.7,3.75,95.25,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",1-1/8,1.125,28.57,9.5,8618,1.81,45.97,1.25,31.75,4.25,107.95,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",1-1/4,1.25,31.75,12,10886,2.03,51.56,1.38,35.05,4.69,119.13,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",1-3/8,1.375,34.92,13.5,12247,2.25,57.15,1.5,38.1,5.25,133.35,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",1-1/2,1.5,38.1,17,15422,2.38,60.45,1.63,41.4,5.75,146.05,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",1-3/4,1.75,44.45,25,22680,2.88,73.15,2.0,50.8,7.0,177.8,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",2,2.0,50.8,35,31752,3.25,82.55,2.25,57.15,7.75,196.85,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Screw-pin anchor shackle, Crosby G-209/G-2130 pattern (ASME B30.26)",2-1/2,2.5,63.5,55,49896,4.13,104.9,2.75,69.85,10.5,266.7,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
