standard,angle_from_horizontal_deg,angle_from_vertical_deg,leg_load_multiplier,note,recall_confidence,edition,source_doc,verified,verified_by,verified_against
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),90,0,1.0,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),85,5,1.004,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),80,10,1.015,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),75,15,1.035,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),70,20,1.064,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),65,25,1.103,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),60,30,1.155,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),55,35,1.221,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),50,40,1.305,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),45,45,1.414,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),40,50,1.556,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),35,55,1.743,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Trig: factor = 1 / sin(angle from horizontal) (ASME B30.9 practice: never below 30 deg),30,60,2.0,"tension per leg = (load / number of legs) x multiplier; 30 deg is the usual minimum, 45 deg preferred",computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
