standard,flange_class,nps,stud_dia_in,stud_dia_mm,stud_length_in,stud_length_dec_in,stud_length_mm,studs_per_flange,nut_wrench_size_heavy_hex_in,nut_wrench_size_mm,nut_height_heavy_hex_in,tpi,thread_series,check_min_plausible_length_in,recall_confidence,edition,source_doc,verified,verified_by,verified_against
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,1/2,1/2,12.7,2-1/4,2.25,57.15,4,0.875,22.22,0.4844,13,UNC,2.22,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,3/4,1/2,12.7,2-1/2,2.5,63.5,4,0.875,22.22,0.4844,13,UNC,2.34,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,1,1/2,12.7,2-1/2,2.5,63.5,4,0.875,22.22,0.4844,13,UNC,2.46,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,1-1/4,1/2,12.7,2-3/4,2.75,69.85,4,0.875,22.22,0.4844,13,UNC,2.58,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,1-1/2,1/2,12.7,2-3/4,2.75,69.85,4,0.875,22.22,0.4844,13,UNC,2.72,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,2,5/8,15.88,3-1/4,3.25,82.55,4,1.0625,26.99,0.6094,11,UNC,3.09,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,2-1/2,5/8,15.88,3-1/2,3.5,88.9,4,1.0625,26.99,0.6094,11,UNC,3.35,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,3,5/8,15.88,3-1/2,3.5,88.9,4,1.0625,26.99,0.6094,11,UNC,3.47,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,4,5/8,15.88,3-1/2,3.5,88.9,8,1.0625,26.99,0.6094,11,UNC,3.47,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,5,3/4,19.05,3-3/4,3.75,95.25,8,1.25,31.75,0.7344,10,UNC,3.72,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,6,3/4,19.05,4,4.0,101.6,8,1.25,31.75,0.7344,10,UNC,3.84,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,8,3/4,19.05,4-1/4,4.25,107.95,8,1.25,31.75,0.7344,10,UNC,4.08,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.5 stud bolt lengths, RF flanges, spiral-wound/flat gasket, two heavy hex nuts (catalog practice; confirm with flange mfr)",150,10,7/8,22.22,4-1/2,4.5,114.3,12,1.4375,36.51,0.8594,9,UNC,4.47,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
