standard,nps,full_coupling_length_W_in,full_coupling_length_W_mm,socket_depth_J_min_in,center_wall_min_in,half_coupling_length_approx_in,recall_confidence,edition,source_doc,verified,verified_by,verified_against
"ASME B16.11 socket-weld couplings, class 3000 (class 6000 typically same W with heavier wall)",1/8,1.0,25.4,0.38,0.24,0.69,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 socket-weld couplings, class 3000 (class 6000 typically same W with heavier wall)",1/4,1.12,28.45,0.38,0.36,0.75,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 socket-weld couplings, class 3000 (class 6000 typically same W with heavier wall)",3/8,1.12,28.45,0.38,0.36,0.75,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 socket-weld couplings, class 3000 (class 6000 typically same W with heavier wall)",1/2,1.25,31.75,0.38,0.49,0.81,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 socket-weld couplings, class 3000 (class 6000 typically same W with heavier wall)",3/4,1.5,38.1,0.5,0.5,0.94,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 socket-weld couplings, class 3000 (class 6000 typically same W with heavier wall)",1,1.75,44.45,0.5,0.75,1.06,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 socket-weld couplings, class 3000 (class 6000 typically same W with heavier wall)",1-1/4,1.88,47.75,0.5,0.88,1.13,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 socket-weld couplings, class 3000 (class 6000 typically same W with heavier wall)",1-1/2,2.0,50.8,0.5,1.0,1.19,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 socket-weld couplings, class 3000 (class 6000 typically same W with heavier wall)",2,2.38,60.45,0.62,1.14,1.38,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 socket-weld couplings, class 3000 (class 6000 typically same W with heavier wall)",2-1/2,2.75,69.85,0.62,1.51,1.56,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 socket-weld couplings, class 3000 (class 6000 typically same W with heavier wall)",3,3.0,76.2,0.62,1.76,1.69,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 socket-weld couplings, class 3000 (class 6000 typically same W with heavier wall)",4,3.62,91.95,0.75,2.12,2.0,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
