standard,fitting_class,nps,pipe_od_in,socket_bore_min_in,socket_bore_max_in,socket_bore_min_mm,socket_bore_max_mm,socket_depth_J_min_in,socket_depth_J_min_mm,socket_wall_C_min_in,socket_wall_C_min_mm,fitting_bore_D_in,fitting_bore_D_mm,ctr_to_socket_bottom_A_90_tee_in,ctr_to_socket_bottom_A_90_tee_mm,ctr_to_socket_bottom_45_in,ctr_to_socket_bottom_45_mm,recall_confidence,edition,source_doc,verified,verified_by,verified_against
ASME B16.11,3000,1/8,0.405,0.42,0.43,10.67,10.92,0.38,9.65,0.095,2.41,0.269,6.83,0.44,11.18,0.31,7.87,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,6000,1/8,0.405,0.42,0.43,10.67,10.92,0.38,9.65,0.124,3.15,0.215,5.46,0.5,12.7,0.38,9.65,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,3000,1/4,0.54,0.555,0.565,14.1,14.35,0.38,9.65,0.119,3.02,0.364,9.25,0.44,11.18,0.38,9.65,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,6000,1/4,0.54,0.555,0.565,14.1,14.35,0.38,9.65,0.147,3.73,0.302,7.67,0.5,12.7,0.44,11.18,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,3000,3/8,0.675,0.69,0.7,17.53,17.78,0.38,9.65,0.126,3.2,0.493,12.52,0.5,12.7,0.38,9.65,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,6000,3/8,0.675,0.69,0.7,17.53,17.78,0.38,9.65,0.158,4.01,0.423,10.74,0.62,15.75,0.44,11.18,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,3000,1/2,0.84,0.855,0.865,21.72,21.97,0.38,9.65,0.147,3.73,0.546,13.87,0.62,15.75,0.44,11.18,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,6000,1/2,0.84,0.855,0.865,21.72,21.97,0.38,9.65,0.188,4.78,0.464,11.79,0.75,19.05,0.5,12.7,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,3000,3/4,1.05,1.065,1.075,27.05,27.3,0.5,12.7,0.154,3.91,0.742,18.85,0.75,19.05,0.5,12.7,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,6000,3/4,1.05,1.065,1.075,27.05,27.3,0.5,12.7,0.219,5.56,0.612,15.54,0.88,22.35,0.62,15.75,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,3000,1,1.315,1.33,1.345,33.78,34.16,0.5,12.7,0.179,4.55,0.957,24.31,0.88,22.35,0.62,15.75,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,6000,1,1.315,1.33,1.345,33.78,34.16,0.5,12.7,0.25,6.35,0.815,20.7,1.06,26.92,0.75,19.05,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
