standard,sling_type,size_or_color,wll_vertical_lb,wll_choker_lb,wll_basket_vertical_lb,wll_vertical_kg,recall_confidence,edition,source_doc,verified,verified_by,verified_against
"WSTDA / ASME B30.9 typical, design factor 5 — varies by manufacturer","nylon web, 1-ply, Type 3 eye&eye","1"" wide",1600,1280,3200,726,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"WSTDA / ASME B30.9 typical, design factor 5 — varies by manufacturer","nylon web, 1-ply, Type 3 eye&eye","2"" wide",3200,2560,6400,1452,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"WSTDA / ASME B30.9 typical, design factor 5 — varies by manufacturer","nylon web, 1-ply, Type 3 eye&eye","3"" wide",4800,3840,9600,2177,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"WSTDA / ASME B30.9 typical, design factor 5 — varies by manufacturer","nylon web, 1-ply, Type 3 eye&eye","4"" wide",6400,5120,12800,2903,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"WSTDA / ASME B30.9 typical, design factor 5 — varies by manufacturer","nylon web, 1-ply, Type 3 eye&eye","6"" wide",9600,7680,19200,4355,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"WSTDA / ASME B30.9 typical, design factor 5 — varies by manufacturer","nylon web, 2-ply, Type 3 eye&eye","1"" wide",3200,2560,6400,1452,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"WSTDA / ASME B30.9 typical, design factor 5 — varies by manufacturer","nylon web, 2-ply, Type 3 eye&eye","2"" wide",6400,5120,12800,2903,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"WSTDA / ASME B30.9 typical, design factor 5 — varies by manufacturer","nylon web, 2-ply, Type 3 eye&eye","3"" wide",8800,7040,17600,3992,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"WSTDA / ASME B30.9 typical, design factor 5 — varies by manufacturer","nylon web, 2-ply, Type 3 eye&eye","4"" wide",11000,8800,22000,4990,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"WSTDA / ASME B30.9 typical, design factor 5 — varies by manufacturer","nylon web, 2-ply, Type 3 eye&eye","6"" wide",16000,12800,32000,7258,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Polyester round sling, color code (WSTDA); confirm on tag — colors are not universal",polyester round sling,purple,2600,2080,5200,1179,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Polyester round sling, color code (WSTDA); confirm on tag — colors are not universal",polyester round sling,green,5300,4240,10600,2404,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Polyester round sling, color code (WSTDA); confirm on tag — colors are not universal",polyester round sling,yellow,8400,6720,16800,3810,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Polyester round sling, color code (WSTDA); confirm on tag — colors are not universal",polyester round sling,tan,10600,8480,21200,4808,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Polyester round sling, color code (WSTDA); confirm on tag — colors are not universal",polyester round sling,red,13200,10560,26400,5988,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Polyester round sling, color code (WSTDA); confirm on tag — colors are not universal",polyester round sling,white,16800,13440,33600,7620,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Polyester round sling, color code (WSTDA); confirm on tag — colors are not universal",polyester round sling,blue,21200,16960,42400,9616,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Polyester round sling, color code (WSTDA); confirm on tag — colors are not universal",polyester round sling,orange,25000,20000,50000,11340,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
