standard,nps,ctr_to_end_A_90_tee_in,ctr_to_end_A_90_tee_mm,ctr_to_end_45_in,ctr_to_end_45_mm,thread_engagement_see,recall_confidence,edition,source_doc,verified,verified_by,verified_against
"ASME B16.11 forged, class 2000",1/2,1.12,28.45,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 2000",3/4,1.31,33.27,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 2000",1,1.5,38.1,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 2000",1-1/4,1.75,44.45,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 2000",1-1/2,1.94,49.28,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 2000",2,2.25,57.15,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 2000",2-1/2,2.62,66.55,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 2000",3,3.0,76.2,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 2000",4,3.75,95.25,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 3000",1/8,0.81,20.57,0.62,15.75,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 3000",1/4,0.88,22.35,0.69,17.53,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 3000",3/8,0.94,23.88,0.75,19.05,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 3000",1/2,1.31,33.27,0.88,22.35,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 3000",3/4,1.5,38.1,1.0,25.4,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 3000",1,1.75,44.45,1.12,28.45,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 3000",1-1/4,1.94,49.28,1.31,33.27,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 3000",1-1/2,2.25,57.15,1.44,36.58,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 3000",2,2.62,66.55,1.69,42.93,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 3000",2-1/2,3.12,79.25,2.0,50.8,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 3000",3,3.5,88.9,2.25,57.15,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 3000",4,4.25,107.95,2.75,69.85,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 6000",1/2,1.5,38.1,1.0,25.4,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 6000",3/4,1.75,44.45,1.12,28.45,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 6000",1,2.0,50.8,1.31,33.27,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 6000",1-1/4,2.25,57.15,1.5,38.1,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 6000",1-1/2,2.5,63.5,1.69,42.93,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 6000",2,3.0,76.2,2.0,50.8,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 6000",2-1/2,3.5,88.9,2.25,57.15,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 6000",3,4.0,101.6,2.62,66.55,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.11 forged, class 6000",4,5.0,127.0,3.12,79.25,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",1/8,0.69,17.53,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",1/4,0.81,20.57,0.73,18.54,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",3/8,0.95,24.13,0.8,20.32,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",1/2,1.12,28.45,0.88,22.35,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",3/4,1.31,33.27,0.98,24.89,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",1,1.5,38.1,1.12,28.45,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",1-1/4,1.75,44.45,1.29,32.77,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",1-1/2,1.94,49.28,1.43,36.32,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",2,2.25,57.15,1.68,42.67,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",2-1/2,2.7,68.58,1.95,49.53,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",3,3.08,78.23,2.17,55.12,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",4,3.79,96.27,2.61,66.29,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",5,4.5,114.3,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.3 malleable iron, class 150",6,5.13,130.3,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.4 cast iron, class 125",1/2,1.12,28.45,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.4 cast iron, class 125",3/4,1.31,33.27,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.4 cast iron, class 125",1,1.5,38.1,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.4 cast iron, class 125",1-1/4,1.75,44.45,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.4 cast iron, class 125",1-1/2,1.94,49.28,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.4 cast iron, class 125",2,2.25,57.15,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.4 cast iron, class 125",2-1/2,2.7,68.58,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.4 cast iron, class 125",3,3.08,78.23,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.4 cast iron, class 125",4,3.79,96.27,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.4 cast iron, class 125",5,4.5,114.3,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.4 cast iron, class 125",6,5.13,130.3,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B16.4 cast iron, class 125",8,6.56,166.62,,,ref_npt_threads_b1_20_1.csv total_makeup_L1_plus_L3_in,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
