standard,head_ft,head_m,pressure_psi,pressure_kpa,recall_confidence,note,edition,source_doc,verified,verified_by,verified_against
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),1,0.3,0.43,3.0,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),2,0.61,0.87,6.0,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),3,0.91,1.3,9.0,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),4,1.22,1.73,12.0,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),5,1.52,2.17,14.9,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),6,1.83,2.6,17.9,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),7,2.13,3.03,20.9,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),8,2.44,3.47,23.9,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),9,2.74,3.9,26.9,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),10,3.05,4.33,29.9,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),11,3.35,4.77,32.9,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),12,3.66,5.2,35.9,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),13,3.96,5.64,38.9,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
