standard,rope_dia_in,rope_dia_mm,swl_vertical_short_tons,swl_choker_short_tons,swl_basket_vertical_short_tons,nominal_breaking_strength_short_tons,rule_of_thumb_swl_tons_8xD2,recall_confidence,edition,source_doc,verified,verified_by,verified_against
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",1/4,6.35,0.65,0.48,1.3,3.4,0.5,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",5/16,7.94,1.0,0.74,2.0,5.27,0.78,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",3/8,9.52,1.4,1.1,2.8,7.55,1.12,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",7/16,11.11,1.9,1.4,3.8,10.2,1.53,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",1/2,12.7,2.5,1.9,5.0,13.3,2.0,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",9/16,14.29,3.1,2.3,6.2,16.8,2.53,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",5/8,15.88,3.9,2.9,7.8,20.6,3.12,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",3/4,19.05,5.6,4.1,11.2,29.4,4.5,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",7/8,22.22,7.6,5.6,15.2,39.8,6.12,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",1,25.4,9.8,7.2,19.6,51.7,8.0,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",1-1/8,28.57,12,9.1,24,65.0,10.12,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",1-1/4,31.75,15,11,30,79.9,12.5,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",1-3/8,34.92,18,13,36,96.0,15.12,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",1-1/2,38.1,21,16,42,114,18.0,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",1-3/4,44.45,28,21,56,153,24.5,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"ASME B30.9 / manufacturer tables, 6x19 or 6x36 IWRC EIPS, mechanical splice, design factor 5",2,50.8,37,28,74,198,32.0,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
