standard,item,size,heavy_hex_across_flats_in,heavy_hex_across_flats_mm,regular_hex_across_flats_in,heavy_hex_nut_height_in,recall_confidence,edition,source_doc,verified,verified_by,verified_against
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,1/2,0.875,22.22,0.75,0.4844,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,5/8,1.0625,26.99,0.9375,0.6094,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,3/4,1.25,31.75,1.125,0.7344,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,7/8,1.4375,36.51,1.3125,0.8594,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,1,1.625,41.27,1.5,0.9844,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,1-1/8,1.8125,46.04,1.6875,1.1094,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,1-1/4,2.0,50.8,1.875,1.2344,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,1-3/8,2.1875,55.56,2.0625,1.3594,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,1-1/2,2.375,60.32,2.25,1.4844,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,1-5/8,2.5625,65.09,2.4375,1.6094,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,1-3/4,2.75,69.85,2.625,1.7344,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,1-7/8,2.9375,74.61,2.8125,1.8594,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,2,3.125,79.38,3.0,1.9844,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,2-1/4,3.5,88.9,3.375,2.2344,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,2-1/2,3.875,98.42,3.75,2.4844,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,2-3/4,4.25,107.95,4.125,2.7344,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,3,4.625,117.47,4.5,2.9844,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,3-1/4,5.0,127.0,4.875,3.2344,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B18.2.2: heavy hex nut AF = 1.5D + 1/8; regular hex AF = 1.5D; heavy hex height ~ D,nut,3-1/2,5.375,136.53,5.25,3.4844,computed,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Pipe wrench sizing — common trade practice, not a standard",pipe wrench,up to 1/2 NPS,8 or 10 in,,,,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Pipe wrench sizing — common trade practice, not a standard",pipe wrench,3/4,10 or 12 in,,,,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Pipe wrench sizing — common trade practice, not a standard",pipe wrench,1,14 in,,,,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Pipe wrench sizing — common trade practice, not a standard",pipe wrench,1-1/4 to 1-1/2,18 in,,,,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Pipe wrench sizing — common trade practice, not a standard",pipe wrench,2,18 or 24 in,,,,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Pipe wrench sizing — common trade practice, not a standard",pipe wrench,2-1/2 to 3,24 or 36 in,,,,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
"Pipe wrench sizing — common trade practice, not a standard",pipe wrench,3-1/2 to 5,36 or 48 in,,,,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
